timestamp,level,source,message,details
2026-04-19 13:12:24,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:24,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:25,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:25,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:25,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:25,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:25,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:26,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:26,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:12:26,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:18:51,INFO,GUI,[Start] Vui lòng kết nối đến Arduino trước.,
2026-04-19 13:19:02,INFO,GUI,[Connect] Đang kết nối /dev/ttyS31 @ 9600...,
2026-04-19 13:19:02,ERROR,ConnectionService,Connect failed,[Errno 13] could not open port /dev/ttyS31: [Errno 13] Permission denied: '/dev/ttyS31'
